"3-D MAN/CHARLES CHAN";"3-D MAN"
"GRIMM,BEN | TIMESLI";"GRIM REAPER"
GRIMM,JAKE;"GRIM REAPER"
"GRIMM,PETUNIA PENNY";"GRIM REAPER"
"GRIMM,SUE STORM EAR";"GRIM REAPER"
GRIPPO,BILLY;"GRIM REAPER"
"GUARDIAN/JAMES MACDO";GUARDIAN
"GYRICH,HENRY PETER";"HENRY PETER GYRICH"
HAMMER,JUSTIN;"JUSTIN HAMMER"
HAMMERHEAD;HAMMERHEAD
HANCOCK,CALISTA;HAMMERHEAD
HARDBALL;HARDBALL
HARPOON;HARPOON
HARRIER;HARRIER
"HAVOK/ALEX SUMMERS ";HAVOK
HEMINGWAY;HEMINGWAY
"HEX/DOMINIC DESTINE";HEX
HEYWERTH,GENERAL;HEX
HIBBERT,ELLEN;HEX
HIBBERT,HOPE;HEX
"HIDALGO,DETECTIVE J";HEX
HIGGINS,JANE;HEX
HIGGINS,LINDA;HEX
HIGGINS,RICHIE;HEX
HIGGINS,SAMUEL;HEX
"HIGH EVOLUTIONARY/HE";"HIGH EVOLUTIONARY"
"HINDSIGHT LAD/CARLTO";"HINDSIGHT LAD"
"HITMAN/LT. BURT KENY";HITMAN
HOGARTH,JERYN;"JERYN HOGARTH"
"HOLY/FATHER HECTOR R";HOLY
HONDA,DR.;HOLY
"HOWARD THE DUCK";"HOWARD THE DUCK"
"HOWARD,PROFESSOR MA";"HOWARD THE DUCK"
"HULK/DR. ROBERT BRUC";HULK
"HUMAN ROBOT";"HUMAN ROBOT"
"HUMAN TORCH/JOHNNY S";"HUMAN TORCH"
"HUMBUG/PROF. B. MITT";HUMBUG
"HUSK/PAIGE GUTHRIE";HUSK
"HUSK/PAIGE GUTHRIE |";HUSK
HUSSAR;HUSSAR
HYPNO-HUSTLER/;HYPNO-HUSTLER
"ICEMAN/ROBERT BOBBY ";ICEMAN
"IKARIS/IKE HARRIS [E";IKARIS
"IMP/PANDORA DESTINE";IMP
"IMPOSSIBLE MAN";"IMPOSSIBLE MAN"
IN-BETWEENER;IN-BETWEENER
INERTIA/;INERTIA
"INES,DR. DIDIER";INERTIA
"INVISIBLE WOMAN/SUE ";"INVISIBLE WOMAN"
"IRON MAN/TONY STARK ";"IRON MAN"
IRONCLAD;IRONCLAD
"JACK FLAG/";"JACK FLAG"
"JACKAL/MILES WARREN";JACKAL
"JAMESON,J. JONAH";"J. JONAH JAMESON"
"JETSTREAM/HAROUD IBN";JETSTREAM
JIGSAW;JIGSAW
JOCASTA;JOCASTA
JONES,GABE;"GABE JONES"
JOSEPH;JOSEPH
JOYSTICK/JANICE;JOYSTICK
"JUBILEE/JUBILATION L";JUBILEE
"JUGGERNAUT/CAIN MARK";JUGGERNAUT
"KA-ZAR/KEVIN PLUNDER";KA-ZAR
"KARMA/XI'AN COY MANH";KARMA
KHAN;KHAN
"KID COLT";"KID COLT"
"KILLER SHRIKE/SIMON ";"KILLER SHRIKE"
"KILLRAVEN/JONATHAN R";KILLRAVEN
"KING BEDLAM/CHRISTOP";"KING BEDLAM"
"KINGPIN/WILSON FISK";KINGPIN
"KLAW/ULYSSES KLAW";KLAW
KLEB,ROSA;KLAW
KLEIN,CAMERON;KLAW
KLEIN,SHIRLEY;KLAW
KLEIN,STANLEY;KLAW
KLEIN,SUMMER;KLAW
KLEINFELDT,LORNA;KLAW
KLEINSTOCK,HARLAN;KLAW
KLEINSTOCK,SVEN;KLAW
KNIGHT,MISTY;"MISTY KNIGHT"
