4EX;4 (EARTH X)
BLKSTNM;BLACKSTONE, THE MAGICIAN
BLKSTNMD;BLACKSTONE, THE MAGICIAN DETECTIVE
BOG;BLAZE OF GLORY
BOM/C;BEST OF MARVEL COMICS
BORN;BORN
BP;BLACK PANTHER
BP2;BLACK PANTHER VOL. 2
BP3;BLACK PANTHER VOL. 3
BP4;BLACK PANTHER VOL. 4
BP5;BLACK PANTHER VOL. 5
BP:MDMA;BLACK PANTHER: MOST DANGEROUS MAN ALIVE
BP:MWF;BLACK PANTHER: MAN WITHOUT FEAR
BP:PP;BLACK PANTHER: PANTHER'S PREY
BPENBITS;BULLPEN BITS
BPHANTOM;BLONDE PHANTOM
BRB:GH;BETA RAY BILL: GODHUNTER
BSCARS;BATTLE SCARS
BSEED;BLOODSEED
BSEP ∞;BLACK SEPTEMBER ∞
BSHP;BISHOP
BSHP:LXM;BISHOP: THE LAST X-MAN
BSHP:XSE;BISHOP: XAVIER SECURITY ENFORCER
BSTONE;BLOODSTONE
BSUN:X;BLACK SUN: X-MEN
BTHRU;BREAK-THRU
BTIDE;BATTLETIDE
BTIDE2;BATTLETIDE VOL. 2
BUG;BUG
BULL:GH;BULLSEYE: GREATEST HITS
BULL:PG;BULLSEYE: PERFECT GAME
BUZZ;BUZZ
BW;BLACK WIDOW
BW2;BLACK WIDOW VOL. 2
BW3;BLACK WIDOW VOL. 3
BW4;BLACK WIDOW VOL. 4
BW5;BLACK WIDOW VOL. 5 (THE THINGS THEY SAY ABOUT HER...)
BW6;BLACK WIDOW VOL. 6
BW7;BLACK WIDOW VOL. 7
BW:CW;BLACK WIDOW: COLDEST WAR
BW:DO;BLACK WIDOW: DEADLY ORIGIN
BWULF;BLACKWULF
C;CABLE
C2;CABLE VOL. 2
C&DP;CABLE & DEADPOOL
C&NM;CABLE & NEW MUTANTS TPB
C&XFOR;CABLE & X-FORCE
C/MM;CABLE/MACHINE MAN
C:B&M;CABLE: BLOOD AND METAL
CA;CAPTAIN AMERICA
CA2;CAPTAIN AMERICA VOL. 2
CA3;CAPTAIN AMERICA VOL. 3
CA4;CAPTAIN AMERICA VOL. 4
CA5;CAPTAIN AMERICA VOL. 5
CA6;CAPTAIN AMERICA VOL. 6
CA7;CAPTAIN AMERICA VOL. 7
CA65AS;CAPTAIN AMERICA 65TH ANNIVERSARY SPECIAL
CA&BTRC;CAPTAIN AMERICA & BATROC
CA&BUCKY;CAPTAIN AMERICA & BUCKY
CA&BW;CAPTAIN AMERICA & BLACK WIDOW
CA&CRB;CAPTAIN AMERICA & CROSSBONES
CA&FAL;CAPTAIN AMERICA & FALCON
CA&FAL2;CAPTAIN AMERICA & FALCON VOL. 2
CA&FIRST13;CAPTAIN AMERICA & THE FIRST THIRTEEN
CA&HAWK;CAPTAIN AMERICA & HAWKEYE
CA&IM;CAPTAIN AMERICA & IRON MAN
CA&N;CAPTAIN AMERICA & NAMOR
CA&SECA;CAPTAIN AMERICA & SECRET AVENGERS
CA/CV;CAPTAIN AMERICA/CITIZEN V
CA/NF:BT;CAPTAIN AMERICA/NICK FURY: BLOOD TRUCE
CA/NF:OWW;CAPTAIN AMERICA/NICK FURY: OTHER WORLD WAR
CA:DC;CAPTAIN AMERICA: DIRECTORS CUT
CA:DMR;CAPTAIN AMERICA: DEAD MEN RUNNING
CA:DW;CAPTAIN AMERICA: DRUG WARS
CA:FA;CAPTAIN AMERICA: FOREVER ALLIES
CA:LEGEND;CAPTAIN AMERICA: LEGEND
CA:ME;CAPTAIN AMERICA: MEDUSA EFFECT
CA:MOOT;CAPTAIN AMERICA: MAN OUT OF TIME
